SOLAR_RADIATION,PRECIPITATION,WIND_SPEED,LEAF_WETNESS,HC_AIR_TEMPERATURE,HC_RELATIVE_HUMIDITY,DEW_POINT
0.0,0.0,1.8,0.0,14.73,0.0,0.0
0.0,0.0,0.4,0.0,13.65,0.0,0.0
0.0,0.0,0.0,0.0,13.09,0.0,0.0
0.0,0.0,0.2,0.0,13.31,0.0,0.0
0.0,0.0,0.7,0.0,12.45,0.0,0.0
0.0,0.0,1.2,0.0,11.84,0.0,0.0
0.0,0.0,1.5,0.0,11.48,0.0,0.0
0.0,0.0,0.0,0.0,11.18,0.0,0.0
0.0,0.0,0.1,0.0,10.97,0.0,0.0
0.0,0.0,0.2,0.0,10.22,0.0,0.0
0.0,0.0,0.0,0.0,9.48,7.28,0.0
0.0,0.0,0.0,0.0,8.99,97.89,8.6
0.0,0.0,0.0,0.0,8.77,98.88,8.5
0.0,0.0,0.0,0.0,8.61,82.28,6.9
7.0,0.0,0.0,0.0,7.76,100.0,7.7
81.0,0.0,0.0,0.0,8.14,88.53,0.0
149.0,0.0,0.4,0.0,9.82,21.83,0.0
182.0,0.0,0.5,0.0,11.18,0.0,0.0
213.0,0.0,0.7,0.0,12.98,0.0,0.0
140.0,0.0,0.3,0.0,13.57,0.0,0.0
125.0,0.0,0.3,0.0,14.2,0.0,0.0
136.0,0.0,0.9,0.0,14.53,0.0,0.0
157.0,0.0,0.5,0.0,15.46,0.0,0.0
67.0,0.0,0.1,0.0,14.83,0.0,0.0
9.0,0.0,0.3,0.0,13.38,0.0,0.0
0.0,0.0,0.5,0.0,12.6,0.0,0.0
0.0,0.0,0.0,0.0,11.89,0.0,0.0
0.0,0.0,0.0,0.0,10.32,0.0,0.0
0.0,0.0,0.0,0.0,8.99,0.0,0.0
0.0,0.0,0.0,0.0,8.61,0.0,0.0
0.0,0.0,0.0,0.0,8.53,0.0,0.0
0.0,0.0,0.0,0.0,8.59,0.0,0.0
0.0,0.0,0.0,0.0,8.07,0.0,0.0
0.0,0.0,0.2,0.0,8.0,0.0,0.0
0.0,0.0,0.0,0.0,7.55,0.0,0.0
0.0,0.0,0.3,0.0,7.64,0.0,0.0
0.0,0.0,0.0,0.0,6.44,0.0,0.0
0.0,0.0,0.0,0.0,6.11,0.0,0.0
0.0,0.0,0.0,0.0,6.04,0.0,0.0
59.0,0.0,0.0,0.0,6.74,0.0,0.0
167.0,0.0,0.0,0.0,8.52,0.0,0.0
259.0,0.0,0.0,0.0,11.45,0.0,0.0
222.0,0.0,0.0,0.0,13.1,0.0,0.0
168.0,0.0,0.2,0.0,14.89,0.0,0.0
156.0,0.0,0.4,0.0,15.97,0.0,0.0
104.0,0.0,0.1,0.0,15.52,0.0,0.0
93.0,0.0,1.4,0.0,15.22,0.0,0.0
